idea	people	time	data	federal	many	more	could	system	should	web	government	transparency	recovery	provide	they	we	can	not	these	you	accountability	management	need	based	i	it	if	public	use	reporting	but	would	gov	information	state	there	all	stimulus	what	from	their	agencies	will	other	funds
src: http://www.thenationaldialogue.org/ideas/spending-taxonomy	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/data-centric-management-principles-for-recovery.org	0	1	50	0	0	0	2	2	3	6	3	5	31	5	0	0	6	3	0	0	3	4	0	0	0	4	0	7	2	1	1	0	5	3	0	0	4	5	0	5	1	1	3	1	7
src: http://www.thenationaldialogue.org/ideas/leverage-commercial-vitrualization-solutions	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	1	2	2	0
src: http://www.thenationaldialogue.org/ideas/this-forum-should-be-published-more-extended	0	1	0	0	0	1	0	0	3	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	4	3	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/evaluation-helps-us-spend-the-dollar-once	5	0	5	1	1	3	0	1	2	0	0	1	0	0	1	6	3	5	0	0	1	0	1	0	1	7	1	9	0	0	1	0	0	0	0	0	1	0	2	0	1	2	4	0	0
src: http://www.thenationaldialogue.org/ideas/waste-fraud-and-abuse-detection	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/just-stop-1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/use-open-public-integrated-architectures-for-recovery.gov-2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/use-open-public-integrated-architectures-for-recovery.gov-1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/think-simple	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	1	1	3	0	0	0	0	1	0	1	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0
src: http://www.thenationaldialogue.org/ideas/date-time-stamp	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/using-balanced-scorecards-for-performance-based-analytics	0	1	3	1	0	0	6	0	0	1	2	0	8	1	0	0	3	0	1	0	3	2	1	1	0	2	0	0	1	2	0	0	3	0	2	1	0	3	0	0	1	1	1	0	2
src: http://www.thenationaldialogue.org/ideas/provide-a-citizen-centric-collaborative-portal	0	3	12	2	0	2	0	0	2	1	7	3	9	5	1	0	4	1	3	0	3	1	0	3	0	5	1	7	0	1	0	0	10	11	7	0	2	14	2	1	4	3	9	0	2
src: http://www.thenationaldialogue.org/ideas/search-that-will-enable-the-national-dialogue	0	2	9	1	0	0	0	0	0	2	2	0	1	0	0	2	2	2	0	4	0	0	2	0	0	1	0	0	0	0	1	0	1	4	1	0	4	0	3	3	9	1	10	1	0
src: http://www.thenationaldialogue.org/ideas/relevant-data-needs-to-be-captured-at-the-source	0	1	3	0	0	0	0	1	0	1	0	1	0	3	0	0	4	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1
src: http://www.thenationaldialogue.org/ideas/make-room-for-communicating-impact-not-just-tracking-expenditures	1	1	2	0	1	0	2	0	1	0	0	0	2	0	0	10	0	6	0	0	0	0	5	0	6	8	1	0	0	0	4	1	1	0	0	1	1	0	0	2	1	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/restoring-integrity-and-enforcing-it-at-the-same-time	2	1	0	0	1	1	1	0	0	0	4	0	0	0	0	0	1	4	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	3	2	0	8	1	1
src: http://www.thenationaldialogue.org/ideas/business-information	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/fhwa-mutcd-updates	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/subject-1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/enable-drill-down-as-with-ombs-vue-it	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/web-enabled-energy-consumption-geographic-dashboard	0	1	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	2	0	0	1	0	1	0	1
src: http://www.thenationaldialogue.org/ideas/nasa-sponsored-technology-for-recovery-act-tracking	0	3	0	0	0	2	0	6	0	5	3	0	6	0	0	3	7	0	0	0	2	4	0	3	3	5	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	3	0	1	0
src: http://www.thenationaldialogue.org/ideas/transparency-is-more-than-publication-the-role-of-citizen-exchange	0	0	4	1	1	12	0	0	5	1	11	38	6	0	2	16	4	15	0	3	1	0	0	0	15	17	1	3	0	0	4	1	3	5	1	1	1	0	5	3	2	1	5	1	0
src: http://www.thenationaldialogue.org/ideas/creating-an-arra-portfolio-of-investments	0	0	0	2	0	1	0	0	1	0	4	1	0	0	0	2	2	0	1	4	1	5	2	1	0	0	1	0	1	2	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/recovery-mashups-for-citizens-and-states	2	0	4	2	0	0	3	0	1	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	2	0	3	1	0	0	0	0	2	4	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/feedback-from-the-president	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/focus-on-accessibility-not-normalization	0	0	9	2	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	3	0	0	2	0	2	3	0	0
src: http://www.thenationaldialogue.org/ideas/introduce-a-findability-index	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	3	1	1	0	0	1	3	0	3	0	2	0	0	0	2	3	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/set-up-an-api-that-imports-data-directly-from-firms-cost-control-systems	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/grant-for-paying-for-school-if-you-are-unemployed	1	0	0	0	0	0	0	0	2	0	2	0	0	0	4	0	1	3	0	4	2	1	1	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0	2	2	4	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/create-a-plan-before-creating-a-budget	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/why-a-conventional-it-approach-may-not-be-sufficient	0	2	1	0	0	2	0	0	0	0	0	0	17	0	0	0	1	4	1	0	0	0	2	0	3	8	0	0	1	0	1	0	2	1	1	0	1	0	4	1	3	0	5	1	3
src: http://www.thenationaldialogue.org/ideas/will-transparency-policy-reveal-contractor-performance-scores	0	1	0	0	0	0	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/middleware-soa-rest-framework-for-data-1	0	0	9	0	2	0	1	0	0	8	0	0	4	1	0	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	4	12	1	0	0	0	0	0	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/ensure-the-recovery-reporting-solution-achieves-agency-mission-objectives	0	0	11	5	2	1	0	0	6	0	2	1	10	2	1	0	3	2	3	0	0	0	2	1	0	2	0	0	5	8	1	1	1	0	0	0	1	1	0	3	4	13	6	0	0
src: http://www.thenationaldialogue.org/ideas/use-a-research-management-solution-1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	2	1	1	0	0	4	1	0	0	0	0	1	2	0	0	0	0	2	0	0	1	3	0	0	1	2	1	0	2
src: http://www.thenationaldialogue.org/ideas/accountability-and-transparency-have-been-the-focus-for-many-years	0	0	6	5	3	0	1	0	0	0	5	9	4	0	1	1	4	5	1	1	8	2	0	2	2	5	0	0	0	0	4	0	4	1	0	0	2	0	3	1	0	2	2	1	3
src: http://www.thenationaldialogue.org/ideas/adapt-successful-federal-data-exchange-programs-to-arra-recipient-reporting	0	1	9	8	1	1	3	1	0	1	10	2	9	0	0	0	3	0	0	0	1	0	0	0	0	6	0	1	0	7	0	0	1	2	4	0	0	1	0	5	0	1	0	2	0
src: http://www.thenationaldialogue.org/ideas/systems-to-gather-data	0	0	5	0	0	0	0	3	0	0	0	0	0	0	3	1	1	4	0	0	0	0	0	0	0	0	2	1	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/the-simple-language-discussion	0	1	9	0	0	4	0	0	1	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	8	4	2	1	0	0	1	2	0	1	0	0	0	0	1	1	1	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/what-should-be-reported-and-whats-needed-to-do-so	0	0	8	0	0	1	0	0	6	1	0	1	0	1	0	0	2	1	1	0	0	0	1	0	0	2	0	0	0	1	2	0	0	1	0	2	0	0	2	1	1	0	0	1	3
src: http://www.thenationaldialogue.org/ideas/social-search-on-recovery.gov	0	0	1	0	2	0	0	0	2	0	1	0	5	1	4	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	1	5	2	0	0	0	1	0	0	0	0	4	0	0
src: http://www.thenationaldialogue.org/ideas/numeric-web-search	0	1	4	0	1	3	3	0	0	7	0	0	0	0	1	3	3	3	0	0	0	0	1	2	0	1	1	0	0	0	2	0	0	1	0	1	4	0	0	1	2	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/weekly-reports	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/proposed-application-programming-interfaces-api-for-recovery.gov	0	0	2	0	0	1	2	0	2	3	0	2	8	1	0	1	1	0	4	0	2	0	0	0	5	0	0	1	2	2	2	1	4	1	3	1	1	2	0	0	0	0	0	2	0
src: http://www.thenationaldialogue.org/ideas/tracking-through-google-earth-and-web-cam	4	0	1	0	1	0	7	0	2	4	0	0	7	0	4	0	3	1	0	0	0	0	1	0	0	0	1	1	1	0	2	8	4	1	2	0	1	2	1	1	2	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/interactive-web-based-heat-maps-to-explore-the-context-of-recovery-spending	0	0	5	0	0	0	0	0	0	1	2	0	3	0	0	0	2	0	1	1	1	0	0	1	0	3	1	3	3	0	1	5	0	2	0	0	2	1	0	1	0	0	3	2	0
src: http://www.thenationaldialogue.org/ideas/middleware-operated-by-recovery-gov-that-can-be-used-to-accept-varying-data	0	0	13	0	2	0	0	0	0	0	0	0	1	2	0	0	3	0	0	4	0	0	3	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/simply-your-formats-and-websites-for-people-and-organizations	7	2	0	0	0	1	1	1	0	0	1	0	0	4	4	5	0	9	5	3	0	0	5	2	6	10	1	0	0	0	1	0	0	6	0	2	1	0	7	2	3	0	1	1	1
src: http://www.thenationaldialogue.org/ideas/use-saas-for-project-performance-status	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/open-source-software	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/intelligent-design-modular-farming	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/start-with-the-basics	0	1	12	3	4	3	0	1	3	0	3	1	3	2	1	0	6	4	1	0	1	0	1	0	0	5	0	3	0	0	0	0	1	1	2	2	0	0	0	3	1	2	5	0	1
src: http://www.thenationaldialogue.org/ideas/details	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/ntia-funds-dispersement	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	5	0	0	1	1	1	1	0	0	1	0	0	0	5
src: http://www.thenationaldialogue.org/ideas/tell-citizens-who-is-working-on-projects-and-where-the-work-is-being-done	0	0	3	2	1	2	0	0	2	0	1	1	2	1	2	0	1	0	1	0	1	0	1	0	1	1	0	1	2	1	0	0	0	3	3	1	0	2	0	0	1	0	1	0	2
src: http://www.thenationaldialogue.org/ideas/first-find-out-what-folks-want-to-know-by-interest-group	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	1	0	0	3	0	0	1	5	0	0
src: http://www.thenationaldialogue.org/ideas/controlled-distribution-of-funds-to-individuals-not-banks	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	3	3	0	1	0	0	2	0	4	3	2	0	1	0	3	0	0	0	0	1	1	1	3	2	2	0	1	0	4
src: http://www.thenationaldialogue.org/ideas/open-accessible-interoperable-raw-data	0	0	4	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
src: http://www.thenationaldialogue.org/ideas/managing-the-data-using-xam	0	0	7	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
src: http://www.thenationaldialogue.org/ideas/middleware-to-normalize-data	1	1	36	0	2	5	5	0	8	1	2	1	4	1	0	0	10	1	1	9	1	0	6	3	2	9	3	0	3	0	1	3	4	2	0	5	1	2	3	6	0	0	4	0	0
src: http://www.thenationaldialogue.org/ideas/catalog-manage-and-present-recovery-locations-on-digital-maps	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/consolidate-all-projects-from-all-agencies-into-one-site	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	3	2	1	1	0	6	1	1	2	1	3	0	0	0
src: http://www.thenationaldialogue.org/ideas/use-of-business-process-management-bpm-technology-for-recovery-programs	0	1	2	0	0	0	0	0	0	0	2	2	5	3	0	3	1	0	2	0	3	6	0	1	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/governmentwide-financial-management-structures	0	4	6	16	0	0	2	5	1	0	6	5	1	1	2	0	4	4	0	0	3	11	0	1	5	1	3	6	3	16	2	1	1	8	0	1	5	0	0	3	0	2	6	0	0
src: http://www.thenationaldialogue.org/ideas/disclosure-of-contractor-performance-rating-scores	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/take-this-opportunity-to-benefit-from-real-enterprise-architecture	1	1	0	4	2	1	2	1	1	0	2	0	4	0	0	1	1	1	1	0	0	3	1	0	0	1	1	0	1	0	1	1	1	4	0	0	0	1	0	2	1	2	0	0	1
src: http://www.thenationaldialogue.org/ideas/preferred-system-for-managing-diverse-types-and-sources-of-data	0	0	9	0	0	0	1	3	0	0	0	0	0	0	0	1	2	1	1	6	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	2	0	0	5	0
src: http://www.thenationaldialogue.org/ideas/sortable-data	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	1	1	0
src: http://www.thenationaldialogue.org/ideas/improve-this-website	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	1	0	0	2	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/positive-id-on-illegal-entries-accross-us-border	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/usac-funding-and-audits	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	3	1	0	2	2	0	0	0	1	1
src: http://www.thenationaldialogue.org/ideas/provide-enterprise-resource-planning-solutions-to-local-agencies	0	1	1	0	2	0	1	0	0	1	0	0	3	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	1	2	1	0	0
src: http://www.thenationaldialogue.org/ideas/enforce-americans-with-disabilities-act	0	2	1	1	2	0	2	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	0	0	5	1	0	0	0	1	1	0	0	1	0	0	0	0	6	3	0	2	1	0
src: http://www.thenationaldialogue.org/ideas/federated-identity-for-medical-records-health-it	0	2	1	0	1	4	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	3	3	0	3	2	0	2	0	0	3	0	1	0	4	0	0	0	2	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/balance-sheet-showing-jobs-loss-and-gained-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/normalize-first-collect-second-analyze-last	0	0	20	0	0	0	0	1	1	0	0	1	0	0	1	0	4	6	0	0	1	0	0	0	0	3	1	2	0	0	1	0	0	0	0	0	2	0	2	1	0	0	2	1	0
src: http://www.thenationaldialogue.org/ideas/simply-tell-us-what-we-can-and-cannot-do-with-arra	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	2	0	1	3	0	1	0	0	0	0	0	1	1	0	1	0	3	0	1	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/categorize-embedded-it-is-spending-by-fea-segments-to-increase-transparency	0	0	0	1	0	1	1	2	2	0	3	4	3	1	0	0	0	0	0	0	2	2	0	0	0	2	0	2	2	0	0	1	1	3	0	0	1	0	0	2	0	1	2	0	1
src: http://www.thenationaldialogue.org/ideas/publish-and-hold-accountable-measurable-business-results	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	4
src: http://www.thenationaldialogue.org/ideas/data-downloads	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/capture-of-financial-distribution-information	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	2	2	0	1	0	1	2	0	1	0	0	0	1	0	1	0	0	1	0	1
src: http://www.thenationaldialogue.org/ideas/protecting-privacy	0	0	4	1	0	0	0	0	0	0	5	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/incorporate-social-enablement-in-transparency-paradigm	0	2	11	1	3	3	3	0	4	0	9	25	0	1	4	5	5	11	0	1	0	0	7	0	1	9	1	0	2	0	8	1	0	6	0	0	3	0	4	5	7	0	4	5	0
src: http://www.thenationaldialogue.org/ideas/user-centric-experiences	1	2	1	0	1	1	0	0	0	0	5	1	1	0	4	0	9	0	0	0	0	1	3	4	0	3	0	4	3	0	1	0	1	6	2	1	2	0	2	1	0	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/get-the-publics-data-onto-thedataweb	0	0	9	2	2	4	2	0	0	1	3	0	0	0	0	1	3	1	0	0	0	0	1	2	0	3	0	8	1	0	0	3	1	1	1	0	2	1	0	1	1	1	0	0	0
src: http://www.thenationaldialogue.org/ideas/show-planned-versus-actual-spending	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	2	1	0	1	0	0	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/web-3-0-a-free-wiki-for-executable-english	1	0	2	0	0	0	0	5	0	3	0	0	0	0	0	0	5	0	0	6	0	1	0	1	0	3	1	0	6	0	1	0	0	0	0	3	0	2	0	0	0	0	0	1	0
src: http://www.thenationaldialogue.org/ideas/use-of-an-apm-solution-like-ca-wily	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	2	5	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/no-apis-please-just-publish-the-data	2	1	23	0	1	3	4	1	0	9	2	0	1	2	0	0	4	6	0	0	0	1	0	0	4	7	4	0	0	0	3	1	1	2	0	6	9	0	0	3	1	1	4	0	0
src: http://www.thenationaldialogue.org/ideas/live-view-of-infrastructure-projects	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/single-reporting-system-for-grants-using-bpm	0	0	1	3	0	0	0	5	1	0	0	0	0	1	1	0	3	0	1	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	2	1	0	2	3	0	3	1	0	0
src: http://www.thenationaldialogue.org/ideas/an-entirely-different-direction-financially-for-usa	1	1	0	2	0	0	0	2	0	0	0	0	0	1	1	2	0	0	2	0	0	0	0	0	0	5	1	0	0	0	1	1	0	0	0	0	4	1	0	2	0	0	3	1	0
src: http://www.thenationaldialogue.org/ideas/job-o-meters	0	0	3	4	0	0	0	0	1	1	3	0	1	0	0	2	0	0	0	0	0	0	2	1	0	1	1	0	0	1	0	2	1	0	0	1	2	0	0	2	1	0	1	1	0
src: http://www.thenationaldialogue.org/ideas/transparency-lessons-from-new-york-city	0	1	4	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	1	1	1	0	1	2	2	2	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/use-managed-spreadsheets-for-local-agency-reporting	0	1	6	0	2	1	0	1	0	1	0	1	5	0	4	0	4	1	0	0	0	2	0	0	0	2	0	0	1	5	1	0	3	4	0	0	3	0	1	1	0	3	2	0	0
src: http://www.thenationaldialogue.org/ideas/terms-terminology-existing-government-controls-management-life-cycle	1	0	1	17	1	6	0	0	0	0	9	4	7	0	1	6	3	1	3	5	4	16	8	0	6	2	3	3	3	1	0	1	2	3	8	4	12	0	2	3	4	2	1	5	2
src: http://www.thenationaldialogue.org/ideas/dot-highway-construction-traffic-impact-reporting	0	0	0	1	0	2	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/reporting-waste-inefficiency-should-be-easy-and-safe	3	2	0	4	0	1	1	3	3	0	3	1	10	2	5	1	1	5	1	1	1	0	0	0	6	5	4	1	2	1	2	1	4	1	1	2	0	0	1	1	5	0	7	0	2
src: http://www.thenationaldialogue.org/ideas/government-employee-fraud-training	0	0	0	1	1	0	0	1	0	0	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0
src: http://www.thenationaldialogue.org/ideas/search-analyze-and-catalogue-diverse-data-and-create-custom-dashboards	0	0	12	1	0	0	0	1	0	3	0	0	0	1	0	0	4	0	1	1	0	0	0	1	0	2	0	1	1	0	0	0	1	2	1	0	0	0	0	2	1	1	0	2	0
src: http://www.thenationaldialogue.org/ideas/leverage-existing-database	0	2	2	1	1	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	0	3	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/use-social-networking-to-broadcast-spending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
src: http://www.thenationaldialogue.org/ideas/e-verify	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	2	0	1
src: http://www.thenationaldialogue.org/ideas/modeling-stimulus-impact	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/human-interface-guidlines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
